date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:23:41	337276/337276	---M--	200	added ('OK')	image/jpeg	etag:042139a463e80d58a40f1c69b01c5d6e	http://static.showit.co/1200/qaMEh9eZBlU8NaMSRmkTIA/201471/dsc0562_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/qaMEh9eZBlU8NaMSRmkTIA/201471/dsc0562_2.jpg	(from https://sonaandcophoto.com/gallery)
23:23:43	343025/343025	---M--	200	added ('OK')	image/jpeg	etag:17417c354c06036211de6c297ad5abaa	http://static.showit.co/1200/GeX9gz9fBdZwggX-3hYibw/201471/dsc0502_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/GeX9gz9fBdZwggX-3hYibw/201471/dsc0502_2.jpg	(from https://sonaandcophoto.com/gallery)
23:24:11	333376/333376	---M--	200	added ('OK')	image/jpeg	etag:6c4df53a97662b25e6b72afc40663712	http://static.showit.co/1200/kcZ43oJpT8tgRq4nqeRAKQ/201471/dsc0699_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/kcZ43oJpT8tgRq4nqeRAKQ/201471/dsc0699_2.jpg	(from https://sonaandcophoto.com/gallery)
23:24:22	347838/347838	---M--	200	added ('OK')	image/jpeg	etag:fcbd033f18aa104c1564f3cd006e70d1	http://static.showit.co/1200/b4pzjPYJkJ6Uk99NbkCyXQ/201471/dsc1112.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/b4pzjPYJkJ6Uk99NbkCyXQ/201471/dsc1112.jpg	(from https://sonaandcophoto.com/gallery)
23:24:46	385969/385969	---M--	200	added ('OK')	image/jpeg	etag:30ddf97756a851794850f32948d23edd	http://static.showit.co/1200/dU3aihObkpiURy9EN4wzig/201471/dsc5931.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/dU3aihObkpiURy9EN4wzig/201471/dsc5931.jpg	(from https://sonaandcophoto.com/gallery)
23:24:49	422878/422878	---M--	200	added ('OK')	image/jpeg	etag:f0c867737a49985d441d0fc5086cd1c5	http://static.showit.co/1200/JPqFNPptlafE0GJ4E7qczQ/201471/dsc5760.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/JPqFNPptlafE0GJ4E7qczQ/201471/dsc5760.jpg	(from https://sonaandcophoto.com/gallery)
23:25:09	359485/359485	---M--	200	added ('OK')	image/jpeg	etag:45cff3e4593e094d3e4d437cf923ab8f	http://static.showit.co/1200/f6V0Dl6PYiSU8qxPFAHMyw/201471/dsc5699.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/f6V0Dl6PYiSU8qxPFAHMyw/201471/dsc5699.jpg	(from https://sonaandcophoto.com/gallery)
23:25:22	368915/368915	---M--	200	added ('OK')	image/jpeg	etag:89b894fb1516dd0416bc53848280d262	http://static.showit.co/1200/5SONcBfZNMFuPxXdk2zo5w/201471/dsc5229.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/5SONcBfZNMFuPxXdk2zo5w/201471/dsc5229.jpg	(from https://sonaandcophoto.com/gallery)
23:25:56	434904/434904	---M--	200	added ('OK')	image/jpeg	etag:4633b428cddcd748cda1a63b8390c109	http://static.showit.co/1200/_CnIMz6bRC7f_uTWBuq_kA/201471/dsc5170.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/_CnIMz6bRC7f_uTWBuq_kA/201471/dsc5170.jpg	(from https://sonaandcophoto.com/gallery)
23:26:09	492549/492549	---M--	200	added ('OK')	image/jpeg	etag:8e2217c30dfa330f83879e1cadfedd1c	http://static.showit.co/1200/G1Jz83xaeo3CCdDcklT-RQ/201471/dsc4911.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/G1Jz83xaeo3CCdDcklT-RQ/201471/dsc4911.jpg	(from https://sonaandcophoto.com/gallery)
23:26:25	472726/472726	---M--	200	added ('OK')	image/jpeg	etag:f970731a4481e0149db1d3065753d72c	http://static.showit.co/1200/dX3pxkMEZ5QyRy8610O_Zg/201471/dsc6222.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/dX3pxkMEZ5QyRy8610O_Zg/201471/dsc6222.jpg	(from https://sonaandcophoto.com/gallery)
23:26:26	397168/397168	---M--	200	added ('OK')	image/jpeg	etag:da6ac571c5f701f20955f564df6353db	http://static.showit.co/1200/1oceoh3_uh2FwnbjGiRpvw/201471/dsc6317.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/1oceoh3_uh2FwnbjGiRpvw/201471/dsc6317.jpg	(from https://sonaandcophoto.com/gallery)
23:26:57	378487/378487	---M--	200	added ('OK')	image/jpeg	etag:e7d2189611f37705191a7bab02922980	http://static.showit.co/1200/ENAWRbO9ZPKIkQ3r9tFMbg/201471/dsc6252.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/ENAWRbO9ZPKIkQ3r9tFMbg/201471/dsc6252.jpg	(from https://sonaandcophoto.com/gallery)
23:27:21	450637/450637	---M--	200	added ('OK')	image/jpeg	etag:f2db07b2367d2415f49186f2aef4bc66	http://static.showit.co/1200/fnIp3n8eLbMeqHuUk2cPIw/201471/dsc6268.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/fnIp3n8eLbMeqHuUk2cPIw/201471/dsc6268.jpg	(from https://sonaandcophoto.com/gallery)
23:27:30	399226/399226	---M--	200	added ('OK')	image/jpeg	etag:5933255d0728c76fbc7b08d458c068b2	http://static.showit.co/1200/AjFyApB49NFK51LoatiMWg/201471/dsc6046.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/AjFyApB49NFK51LoatiMWg/201471/dsc6046.jpg	(from https://sonaandcophoto.com/gallery)
23:27:34	428282/428282	---M--	200	added ('OK')	image/jpeg	etag:9d6e41b6213c6374db21f3aee3a9cdb8	http://static.showit.co/1200/Ga4LRxF_TSJeUy3uq2rnlg/201471/dsc6100.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/Ga4LRxF_TSJeUy3uq2rnlg/201471/dsc6100.jpg	(from https://sonaandcophoto.com/gallery)
23:27:49	172661/172661	---M--	200	added ('OK')	image/jpeg	etag:eebe3ace15f02e46f8db33927a88cdbe	http://static.showit.co/1200/yONkMeISCBKlsstBLSzm3w/201471/dsc5223.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/yONkMeISCBKlsstBLSzm3w/201471/dsc5223.jpg	(from https://sonaandcophoto.com/gallery)
23:28:26	553465/553465	---M--	200	added ('OK')	image/jpeg	etag:263f13e3b3d2f54604f214d1e33fe7db	http://static.showit.co/1200/vqes5ZWUgyy0jLOKSar9eg/201471/dsc5859.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/vqes5ZWUgyy0jLOKSar9eg/201471/dsc5859.jpg	(from https://sonaandcophoto.com/gallery)
23:28:33	385381/385381	---M--	200	added ('OK')	image/jpeg	etag:45bd28985dbf2c0d4860a2693eaaddc8	http://static.showit.co/1200/5ToTtScl13vbdvDUAgN2QQ/201471/dsc5990.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/5ToTtScl13vbdvDUAgN2QQ/201471/dsc5990.jpg	(from https://sonaandcophoto.com/gallery)
23:28:42	421123/421123	---M--	200	added ('OK')	image/jpeg	etag:6a35a5c7289928b80e0ca6a8ab68c73a	http://static.showit.co/1200/OK0wO9mSEAxfFtsYX84sHQ/201471/dsc5741.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/OK0wO9mSEAxfFtsYX84sHQ/201471/dsc5741.jpg	(from https://sonaandcophoto.com/gallery)
23:28:45	347190/347190	---M--	200	added ('OK')	image/jpeg	etag:665b60eee2f3bf533c96e3b9ed0d6cf0	http://static.showit.co/1200/Utb6ue-MhzV0eBjmdPKJXw/201471/dsc4862_3.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/Utb6ue-MhzV0eBjmdPKJXw/201471/dsc4862_3.jpg	(from https://sonaandcophoto.com/gallery)
23:29:24	315536/315536	---M--	200	added ('OK')	image/jpeg	etag:9ac5a8fa16e3824bd7a8a2be9c5b8047	http://static.showit.co/1200/jKp8H9o0bpEjuqGZ9HCXjw/201471/dsc4723_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/jKp8H9o0bpEjuqGZ9HCXjw/201471/dsc4723_2.jpg	(from https://sonaandcophoto.com/gallery)
23:29:25	365266/365266	---M--	200	added ('OK')	image/jpeg	etag:e6cecbf7106697b421f89fe29773bc45	http://static.showit.co/1200/t7YREnyueP7fXiEsIQTg5g/201471/dsc4464_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/t7YREnyueP7fXiEsIQTg5g/201471/dsc4464_2.jpg	(from https://sonaandcophoto.com/gallery)
23:29:45	386039/386039	---M--	200	added ('OK')	image/jpeg	etag:98b9c3ec8805d8b33a6233833152c438	http://static.showit.co/1200/Hc24hJiU2T9s8LM9-p5oaw/201471/dsc4932_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/Hc24hJiU2T9s8LM9-p5oaw/201471/dsc4932_2.jpg	(from https://sonaandcophoto.com/gallery)
23:30:19	576601/576601	---M--	200	added ('OK')	image/jpeg	etag:761950d99901a534e90389d8a09b975c	http://static.showit.co/1200/JVzWgQSQHQcuzT_3AwHP0w/201471/dsc4413-2_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/JVzWgQSQHQcuzT_3AwHP0w/201471/dsc4413-2_2.jpg	(from https://sonaandcophoto.com/gallery)
23:30:22	359146/359146	---M--	200	added ('OK')	image/jpeg	etag:0af509b115a72cd9d38d8ed77da5ace9	http://static.showit.co/1200/pcGaM4KBgnYFkV8YrhiwHw/201471/dsc5010_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/pcGaM4KBgnYFkV8YrhiwHw/201471/dsc5010_2.jpg	(from https://sonaandcophoto.com/gallery)
23:30:23	353906/353906	---M--	200	added ('OK')	image/jpeg	etag:1f4df0a852bad5bd29527f6a357d05b7	http://static.showit.co/1200/h2fSqmc_ecgsWsFGFqWpMA/201471/dsc4678_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/h2fSqmc_ecgsWsFGFqWpMA/201471/dsc4678_2.jpg	(from https://sonaandcophoto.com/gallery)
23:30:47	383530/383530	---M--	200	added ('OK')	image/jpeg	etag:b9c537bd32332120cb9fb94011c85157	http://static.showit.co/1200/Rql0DXYWt6VzKk0T5MHatA/201471/dsc4604_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/Rql0DXYWt6VzKk0T5MHatA/201471/dsc4604_2.jpg	(from https://sonaandcophoto.com/gallery)
23:31:28	408447/408447	---M--	200	added ('OK')	image/jpeg	etag:6b7981bcaa78d1da80f1773a84646211	http://static.showit.co/1200/2bCNSHKLYvwhjachGf-NLg/201471/dsc2324-2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/2bCNSHKLYvwhjachGf-NLg/201471/dsc2324-2.jpg	(from https://sonaandcophoto.com/gallery)
23:31:40	476957/476957	---M--	200	added ('OK')	image/jpeg	etag:92dfab8b6dd67308799f676cd1a47977	http://static.showit.co/1200/VjNbKM4-an4v_z1exjjL8Q/201471/dsc2015.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/VjNbKM4-an4v_z1exjjL8Q/201471/dsc2015.jpg	(from https://sonaandcophoto.com/gallery)
23:31:40	506350/506350	---M--	200	added ('OK')	image/jpeg	etag:19fb9341bc865b699b5553e427aa7f11	http://static.showit.co/1200/dWptD9P9ZXoE49IrEbxgKw/201471/dsc4998-2_2.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/dWptD9P9ZXoE49IrEbxgKw/201471/dsc4998-2_2.jpg	(from https://sonaandcophoto.com/gallery)
23:32:03	474177/474177	---M--	200	added ('OK')	image/jpeg	etag:c0fbcbce3e574d01efab85872e9e5362	http://static.showit.co/1200/s08MNoCqyaQV5eMZRM0HFw/201471/dsc1905.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/s08MNoCqyaQV5eMZRM0HFw/201471/dsc1905.jpg	(from https://sonaandcophoto.com/gallery)
23:32:48	423332/423332	---M--	200	added ('OK')	image/jpeg	etag:287287ba19249e58aa0f003c781bb354	http://static.showit.co/1200/lyBeK1rH72yZ15D5DGHA1Q/201471/dsc2806.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/lyBeK1rH72yZ15D5DGHA1Q/201471/dsc2806.jpg	(from https://sonaandcophoto.com/gallery)
23:32:50	430286/430286	---M--	200	added ('OK')	image/jpeg	etag:4d37e472d0f5459ae6f1cf89717b3dd3	http://static.showit.co/1200/IrAYOMUbeW2hbRwn6Mpa0Q/201471/dsc3124.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/IrAYOMUbeW2hbRwn6Mpa0Q/201471/dsc3124.jpg	(from https://sonaandcophoto.com/gallery)
23:32:50	511325/511325	---M--	200	added ('OK')	image/jpeg	etag:98a38d92d283512304f19290f371470e	http://static.showit.co/1200/Q0JJabH64jOd1ULXF_NZqQ/201471/dsc3178.jpg	C:/My%20Web%20Sites/CayleeHain/static.showit.co/1200/Q0JJabH64jOd1ULXF_NZqQ/201471/dsc3178.jpg	(from https://sonaandcophoto.com/gallery)
